article_id,title,year,issue,volume,pdf_url
2025_5_12,李亚霖 游海英 康寿磊 王文涛 朱瑞玲 郝强 页码:353,2025,5,52,http://gl.hmc.edu.cn/upload/files/202505012.pdf
2025_5_13,何维曜臻 王京 李林霞 黄晓娇 梁囡 李翔 页码:357,2025,5,52,http://gl.hmc.edu.cn/upload/files/202505013.pdf
2024_1_1,国家卫生健康委员会 国家中医药管理局 页码:1,2024,1,51,http://gl.hmc.edu.cn/upload/files/202401001.pdf
2024_1_2,国家卫生健康委员会 国家中医药管理局 页码:4,2024,1,51,http://gl.hmc.edu.cn/upload/files/202401002.pdf
2024_1_3,杜沛 王奇慧 页码:7,2024,1,51,http://gl.hmc.edu.cn/upload/files/202401003.pdf
2024_1_4,刘小霞 遆亚楠 张缭云 王晓燕 赵洁 王立新 页码:12,2024,1,51,http://gl.hmc.edu.cn/upload/files/202401004.pdf
2024_1_5,赵寒  漆莉  熊宇  杨琳  吴维东  龙江 页码:18,2024,1,51,http://gl.hmc.edu.cn/upload/files/202401005.pdf
2024_1_6,张井巍 易彬 丁湘贵 宋子龙 税铁军 页码:23,2024,1,51,http://gl.hmc.edu.cn/upload/files/202401006.pdf
2024_1_7,殷晓云  胥萍  陈慧  吴敏智  杨玉婷  吴敏娟 页码:38,2024,1,51,http://gl.hmc.edu.cn/upload/files/202401009.pdf
2024_1_8,袁灵敏 李群 黄燕 页码:28,2024,1,51,http://gl.hmc.edu.cn/upload/files/202401007.pdf
2024_1_9,罗庆 龙江 熊宇 王开发 页码:33,2024,1,51,http://gl.hmc.edu.cn/upload/files/202401008.pdf
2024_1_10,钟培雄 陈钰 郝金香 吴挺实 黄一桂 页码:43,2024,1,51,http://gl.hmc.edu.cn/upload/files/202401010.pdf
2024_1_11,周燕 郝倩 白飞虎 页码:49,2024,1,51,http://gl.hmc.edu.cn/upload/files/202401011.pdf
2024_1_12,赵湘 黄玉 王憓 页码:56,2024,1,51,http://gl.hmc.edu.cn/upload/files/202401012.pdf
2024_1_13,耿家宝 熊熙 缪幼菡 赵卫峰 页码:63,2024,1,51,http://gl.hmc.edu.cn/upload/files/202401013.pdf
2024_1_14,谢美莲 王爱平 页码:68,2024,1,51,http://gl.hmc.edu.cn/upload/files/202401014.pdf
2024_2_1,国家卫生健康委员会 国家中医药管理局 页码:73,2024,2,51,http://gl.hmc.edu.cn/upload/files/202402001.pdf
2024_2_2,顾飞  何耀祖  林伟寅  李虹  钟活麟  于海生  胡风玉  兰芸  唐小平  李凌华 页码:77,2024,2,51,http://gl.hmc.edu.cn/upload/files/202402002.pdf
2024_2_3,王慧  王威  夏艳华  张慧  朱有霞 页码:84,2024,2,51,http://gl.hmc.edu.cn/upload/files/202402003.pdf
2024_2_4,胡兆会  张娟  陈凤  索家乐 页码:93,2024,2,51,http://gl.hmc.edu.cn/upload/files/202402004.pdf
2024_2_5,彭宇辉  刘诗洋  苏海滨  宁鹏  李会  严立龙  李晨  刘 晓燕   陈婧 页码:99,2024,2,51,http://gl.hmc.edu.cn/upload/files/202402005.pdf
2024_2_6,李思萱  崔军  应焱燕  纪威  包凯芳  刘慧慧 页码:104,2024,2,51,http://gl.hmc.edu.cn/upload/files/202402006.pdf
2024_2_7,黄春萍  王兵  吴彦 页码:110,2024,2,51,http://gl.hmc.edu.cn/upload/files/202402007.pdf
2024_2_8,云丹尖措  张丽杰 页码:116,2024,2,51,http://gl.hmc.edu.cn/upload/files/202402008.pdf
2024_2_9,张沁枝  郭朋乐  李凌华 页码:120,2024,2,51,http://gl.hmc.edu.cn/upload/files/202402009.pdf
2024_2_10,史培  邬小萍 页码:125,2024,2,51,http://gl.hmc.edu.cn/upload/files/202402010.pdf
2024_2_11,胡鑫洋  雷婧  高静韬 页码:130,2024,2,51,http://gl.hmc.edu.cn/upload/files/202402011.pdf
2024_2_12,徐硕仪  王淑颖 页码:138,2024,2,51,http://gl.hmc.edu.cn/upload/files/202402012.pdf
2024_2_13,池云  孙丙虎  陈亚玲  胡志亮 页码:143,2024,2,51,http://gl.hmc.edu.cn/upload/files/202402013.pdf
2024_3_1,国家疾病预防控制局  国家卫生健康委员会 页码:145,2024,3,51,http://gl.hmc.edu.cn/upload/files/202403001.pdf
2024_3_2,国家卫生健康委员会  国家中医药管理局 页码:148,2024,3,51,http://gl.hmc.edu.cn/upload/files/202403002.pdf
2024_3_3,杨素梅  廖忠惠  崔妍欣  仪洪洋  卢 洪洲 页码:154,2024,3,51,http://gl.hmc.edu.cn/upload/files/202403003.pdf
2024_3_4,金少峰  衣晓娜  金雨虹  丁毅  金栋材 页码:164,2024,3,51,http://gl.hmc.edu.cn/upload/files/202403004.pdf
2024_3_5,方红龙  赵俊杰  汪叶松  陈卫挺  於佳飞   罗建  张伟文  张根生 页码:169,2024,3,51,http://gl.hmc.edu.cn/upload/files/202403005.pdf
2024_3_6,卢太苓  彭效芹  孙逊  郭素玉 页码:174,2024,3,51,http://gl.hmc.edu.cn/upload/files/202403006.pdf
2024_3_7,章媛  林立华  贾亮  钟伟青  楼少云  陈忠坚  胡燕平 页码:179,2024,3,51,http://gl.hmc.edu.cn/upload/files/202403007.pdf
2024_3_8,郑海平  马凌飞 页码:186,2024,3,51,http://gl.hmc.edu.cn/upload/files/202403008.pdf
2024_3_9,赵湘  黄玉  吕巧红  吴青青 页码:193,2024,3,51,http://gl.hmc.edu.cn/upload/files/202403009.pdf
2024_3_10,陈婉君  雷泽恺  何林  姜婷婷  陈卫永  柴程良  陈琳 页码:199,2024,3,51,http://gl.hmc.edu.cn/upload/files/202403010.pdf
2024_3_11,童可欣  黄文祥 页码:205,2024,3,51,http://gl.hmc.edu.cn/upload/files/202403011.pdf
2024_3_12,彭仕宁  韩亚娟 页码:211,2024,3,51,http://gl.hmc.edu.cn/upload/files/202403012.pdf
2024_3_13,肖丹 杨璐璇 张文勇 常建国 刘美琴 邵伟 沈秀娟 页码:214,2024,3,51,http://gl.hmc.edu.cn/upload/files/202403013.pdf
2024_4_1,国家疾病预防控制局  国家卫生健康委员会 页码:217,2024,4,51,http://gl.hmc.edu.cn/upload/files/202404001.pdf
2024_4_2,黄丽素  李津嘉  方晓慧 页码:221,2024,4,51,http://gl.hmc.edu.cn/upload/files/202404002.pdf
2024_4_3,李奕嘉  王传清  付盼 页码:225,2024,4,51,http://gl.hmc.edu.cn/upload/files/202404003.pdf
2024_4_4,刘芙蓉  马烨  姚婷新  甘路民  谷芬   肖耿吉  于四景  王梦荧   罗如平  刘静 页码:229,2024,4,51,http://gl.hmc.edu.cn/upload/files/202404004.pdf
2024_4_5,胡洁  余鹏飞  杜哲群  沈国初  许荣全 页码:234,2024,4,51,http://gl.hmc.edu.cn/upload/files/202404005.pdf
2024_4_6,张霞  苏芳  程江豪  刘红  刘芳  朱明利  页码:239,2024,4,51,http://gl.hmc.edu.cn/upload/files/202404006.pdf
2024_4_7,贺娟娟  赖志胜  辜洁妮   曾珏  李洪玲  王金平  潘婧珊  彭亦舟 页码:245,2024,4,51,http://gl.hmc.edu.cn/upload/files/202404007.pdf
2024_4_8,胡昱  龚杰 页码:251,2024,4,51,http://gl.hmc.edu.cn/upload/files/202404008.pdf
2024_4_9,尤柳青  郭丽花  李娜  钟节鸣  赵鸣 页码:258,2024,4,51,http://gl.hmc.edu.cn/upload/files/202404009.pdf
2024_4_10,曾明深  谭斯文  李钊宏  陈纯 页码:264,2024,4,51,http://gl.hmc.edu.cn/upload/files/202404010.pdf
2024_4_11,白若靖  郭军 页码:268,2024,4,51,http://gl.hmc.edu.cn/upload/files/202404011.pdf
2024_4_12,赵镘娜  赵卫峰 页码:273,2024,4,51,http://gl.hmc.edu.cn/upload/files/202404012.pdf
2024_4_13,陈染  黄佳佳  王楚雯  钱国清 页码:278,2024,4,51,http://gl.hmc.edu.cn/upload/files/202404013.pdf
2024_4_14,杨驾煌  董伟  徐珊玲  刘真君 页码:283,2024,4,51,http://gl.hmc.edu.cn/upload/files/202404014.pdf
2024_5_1,国 家卫生健康委员会  国 家中医药管理局 页码:289,2024,5,51,http://gl.hmc.edu.cn/upload/files/202405001.pdf
2024_5_2,刘宁 张红岩 杨绍萱 孙惠昕 页码:294,2024,5,51,http://gl.hmc.edu.cn/upload/files/202405002.pdf
2024_5_3,朱一 李莉 王慎玉 考庆君 孙昼 页码:300,2024,5,51,http://gl.hmc.edu.cn/upload/files/202405003.pdf
2024_5_4,和蓓露 潘金良 张洁 毛雨婷 孙丽华 页码:307,2024,5,51,http://gl.hmc.edu.cn/upload/files/202405004.pdf
2024_5_5,覃晓琳 杜华龙粤 陈洋 吴兴中 黄进梅 薛耀华 唐三梅 郑和平 页码:315,2024,5,51,http://gl.hmc.edu.cn/upload/files/202405005.pdf
2024_5_6,陈童画 罗立君 张锋 唐彩华 罗永能 高丽美 页码:321,2024,5,51,http://gl.hmc.edu.cn/upload/files/202405006.pdf
2024_5_7,叶灵 许珂 罗文杰 张兴亮 吴嗣圣 朱敏 尤佳女 页码:328,2024,5,51,http://gl.hmc.edu.cn/upload/files/202405007.pdf
2024_5_8,黄思超 许珂 刘盼盼 陈珺芳 页码:334,2024,5,51,http://gl.hmc.edu.cn/upload/files/202405008.pdf
2024_5_9,任乐 陈琳 郑锦雷 柴程良 页码:341,2024,5,51,http://gl.hmc.edu.cn/upload/files/202405009.pdf
2024_5_10,宋旭 谢立 贾庆军 黄银燕 程庆林 页码:348,2024,5,51,http://gl.hmc.edu.cn/upload/files/202405010.pdf
2024_5_11,李明燕 胡昱 沈建勇 季钗 页码:353,2024,5,51,http://gl.hmc.edu.cn/upload/files/202405011.pdf
