article_id,title,year,issue,volumn_page,pdf_url,doi
62d63ce7-be7b-4f12-a249-02af8af51774,糖尿病足病患者下肢动脉病变超声影像学特点,2012,5,https://ykxb.scu.edu.cn/cn/article/2012/5,https://ykxb.scu.edu.cn/article/exportPdf?id=62d63ce7-be7b-4f12-a249-02af8af51774,
4ed90832-61d3-4020-9a3b-a53a2a93d891,2型糖尿病合并下肢动脉病变患者颈动脉、椎动脉、锁骨下动脉及肾动脉造影特点分析,2012,5,https://ykxb.scu.edu.cn/cn/article/2012/5,https://ykxb.scu.edu.cn/article/exportPdf?id=4ed90832-61d3-4020-9a3b-a53a2a93d891,
338a40a7-3727-43dd-a7c6-bfda5b24cc77,糖尿病足下肢动脉闭塞性病变的外科血管搭桥治疗,2012,5,https://ykxb.scu.edu.cn/cn/article/2012/5,https://ykxb.scu.edu.cn/article/exportPdf?id=338a40a7-3727-43dd-a7c6-bfda5b24cc77,
393b0690-4c7b-443c-b5b5-8e1153753a91,糖尿病足磁共振增强成像优化方案的探讨,2012,5,https://ykxb.scu.edu.cn/cn/article/2012/5,https://ykxb.scu.edu.cn/article/exportPdf?id=393b0690-4c7b-443c-b5b5-8e1153753a91,
c570d832-a0f2-4c14-b4dd-575f4fb31527,APG治疗糖尿病难治性皮肤溃疡对创面肉芽组织中MMP-1、MMP-9及TIMP-1水平的影响,2012,5,https://ykxb.scu.edu.cn/cn/article/2012/5,https://ykxb.scu.edu.cn/article/exportPdf?id=c570d832-a0f2-4c14-b4dd-575f4fb31527,
640db1b4-74c8-48d9-9a97-3505e5cc9f29,自体富血小板凝胶治疗糖尿病慢性难愈合皮肤溃疡的住院时间和住院费用分析,2012,5,https://ykxb.scu.edu.cn/cn/article/2012/5,https://ykxb.scu.edu.cn/article/exportPdf?id=640db1b4-74c8-48d9-9a97-3505e5cc9f29,
b304b8d6-3bfb-4a72-8ce3-a582405dfcd8,筋膜瓣和关节融合在糖尿病足窦道治疗中的应用,2012,5,https://ykxb.scu.edu.cn/cn/article/2012/5,https://ykxb.scu.edu.cn/article/exportPdf?id=b304b8d6-3bfb-4a72-8ce3-a582405dfcd8,
2635bdd2-58f1-46b2-b321-790cee0485bf,大鼠体外循环模型的建立及其效果评价,2012,5,https://ykxb.scu.edu.cn/cn/article/2012/5,https://ykxb.scu.edu.cn/article/exportPdf?id=2635bdd2-58f1-46b2-b321-790cee0485bf,
6f63bbdb-93c7-4659-acac-a900addecaa6,HPLC-MS/MS法测定人血浆中普罗布考浓度,2012,5,https://ykxb.scu.edu.cn/cn/article/2012/5,https://ykxb.scu.edu.cn/article/exportPdf?id=6f63bbdb-93c7-4659-acac-a900addecaa6,
eed4cb76-c4b6-4353-8e11-7dbc6c11b729,正相HPLC-MS/MS测定人血浆中多奈哌齐对映体浓度,2012,5,https://ykxb.scu.edu.cn/cn/article/2012/5,https://ykxb.scu.edu.cn/article/exportPdf?id=eed4cb76-c4b6-4353-8e11-7dbc6c11b729,
289dc24c-0db9-4778-9018-1dde6e9cc50b,超声诊断桡动脉穿刺后发生的血管痉挛及其影响因素分析,2012,5,https://ykxb.scu.edu.cn/cn/article/2012/5,https://ykxb.scu.edu.cn/article/exportPdf?id=289dc24c-0db9-4778-9018-1dde6e9cc50b,
47340090-a0ba-47f0-b774-e8cc1f22dedd,产前超声在诊断胎儿前腹壁缺陷中的应用价值,2012,5,https://ykxb.scu.edu.cn/cn/article/2012/5,https://ykxb.scu.edu.cn/article/exportPdf?id=47340090-a0ba-47f0-b774-e8cc1f22dedd,
b425c0e0-3b50-4895-90aa-0dbb254d0553,2000~2009年四川省“降消”项目实施效果总结及分析,2012,5,https://ykxb.scu.edu.cn/cn/article/2012/5,https://ykxb.scu.edu.cn/article/exportPdf?id=b425c0e0-3b50-4895-90aa-0dbb254d0553,
