article_id,title,author,issue_url,pdf_url
10.1097/BS9.0000000000000265,"Erratum: Super-resolution imaging informed scRNA sequencing analysis reveals the critical
                     role of GDF15 in rejuvenating aged hematopoietic stem cells","Zhongyu Shi,Xuefei Zhang,Huihui Yang,Xiaolu Zheng,Mengxiao Niu,Yongjian Zhang,Pengfei Yuan,Wensheng Wei,Gang Huang,Riguo Fang,Liangyi Chen",https://mednexus.org/toc/bls/07/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000265?download=true
10.1097/BS9.0000000000000241,"China Expert consensus on the application of metagenomic next-generation sequencing
                     for the etiological diagnosis of infections in hematological disorders (2024)","Chunhui Xu,Ren Lin,Ye Bai,Yanqiu Han,Jianda Hu,Jiong Hu,Yu Hu,Fen Huang,Xiaojun Huang,Chunyan Ji,Xin Li,Aibin Liang,Peihua Lu,Jun Ma,Heng Mei,Ting Niu,Jian Ouyang,Wenbin Qian,Jimin Shi,Yongping Song,Aining Sun,Yehui Tan,Hui Wang,Jianxiang Wang,…See all authors",https://mednexus.org/toc/bls/07/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000241?download=true
10.1097/BS9.0000000000000247,"CD7 CAR-T therapy: current developments, improvements, and dilemmas",Linjuan WangandShaowei Qiu,https://mednexus.org/toc/bls/07/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000247?download=true
10.1097/BS9.0000000000000237,"A prognostic analysis of patients with acute leukemia and a history of central nervous
                     system involvement undergoing umbilical cord blood transplantation","Zichang Shen,Bingbing Yan,Xinyue Zhang,Yue Wu,Xiaoyu Zhu",https://mednexus.org/toc/bls/07/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000237?download=true
10.1097/BS9.0000000000000246,"Alpha-enolase promotes progression of acute myeloid leukemia via MAPK/ERK signaling
                     pathway","Shanshan Zhang,Haina Wang,Xuehong Zhang,Xiangjie Kui,Dan Huang,Menglu Qin,Shuqing Liu,Ming-Zhong Sun,Jinsong Yan",https://mednexus.org/toc/bls/07/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000246?download=true
10.1097/BS9.0000000000000244,"Challenges and advances in prenatal diagnosis and management of beta thalassemia in
                     Pakistan","Muhammad Suleman Ur Rehman,Sadiq Murtaza Sheriff,Muhammad Mahad Riaz,Muhammad Areeb Ul Haq",https://mednexus.org/toc/bls/07/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000244?download=true
10.1097/BS9.0000000000000243,"Unrelated cord blood as a source of stem cells: cryopreservation damage can be alleviated
                     by restoring mitochondrial function",Norbert Claude Gorin,https://mednexus.org/toc/bls/07/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000243?download=true
10.1097/BS9.0000000000000245,Daratumumab in children with advanced idiopathic thrombocytopenic purpura,Robert Peter Gale,https://mednexus.org/toc/bls/07/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000245?download=true
10.1097/BS9.0000000000000239,"A promising leap in treating large granular lymphocytic leukemia: reflections on a
                     Multicenter Phase II Study of thalidomide-based therapy",Xue KongandKen H. Young,https://mednexus.org/toc/bls/07/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000239?download=true
10.1097/BS9.0000000000000242,"Deciphering hematopoietic stem cell heterogeneity: breakthroughs in functional subpopulations
                     and molecular markers","Yangyang Lei,Mei Guo,Huisheng Ai",https://mednexus.org/toc/bls/07/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000242?download=true
10.1097/BS9.0000000000000251,Human hematopoiesis and blood cell formation in pigs,"Chun-Hui Jin,Yang Tang,Limei Qu,Tao Cheng",https://mednexus.org/toc/bls/07/03,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000251?download=true
10.1097/BS9.0000000000000228,Erythroblastic island: the niche for erythroid terminal differentiation and beyond,"Lingyue Zheng,Jingwei Wang,Xu Jin,Qimei Cheng,Xiaoru Zhang,Yue Li,Di Wang,Haoze Song,Xu Zhu,Lexuan Lin,Jinfa Ma,Jie Gao,Jing Liang,Jingyuan Tong,Lihong Shi",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000228?download=true
10.1097/BS9.0000000000000221,Basic and applied research progress of TRAIL in hematologic malignancies,"Sidong Zhang,Rongqun Guo,Yufeng Liu,Zhengyu Wu,Yadong Song",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000221?download=true
10.1097/BS9.0000000000000229,"Stem cell transplantation indications for patients with acute leukemia determined
                     by measurable residual disease: what we know and what we do not know","Xiao-Su Zhao,Xiao-Tong Chen,Ying-Jun Chang",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000229?download=true
10.1097/BS9.0000000000000233,"Primary vitreoretinal lymphoma: diagnosis, treatment, and prognosis—a review of current
                     knowledge and future directions","Si-Yu Wang,Suo-Wang Zhou,Jing Gao,Liang Wang",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000233?download=true
10.1097/BS9.0000000000000220,A shadow in the treatment of acute leukemia: lineage switch,Qiaoyi ZhouandYing Wang,https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000220?download=true
10.1097/BS9.0000000000000209,"Expression profiles and potential roles of microRNAs in erythrocytes during the aging
                     process","Liping Sun,Xiaofei Li,Xiaoxing Liang,Cuimi Duan,Fengxian Li,Yang Yu,Deqing Wang",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000209?download=true
10.1097/BS9.0000000000000236,"Super-resolution imaging informed scRNA sequencing analysis reveals the critical role
                     of GDF15 in rejuvenating aged hematopoietic stem cells","Zhongyu Shi,Xuefei Zhang,Huihui Yang,Xiaolu Zheng,Mengxiao Niu,Yongjian Zhang,Pengfei Yuan,Wensheng Wei,Gang Huang,Riguo Fang,Liangyi Chen",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000236?download=true
10.1097/BS9.0000000000000223,"TREML2 enhances sensitivity of acute myeloid leukemia cells to chemotherapy by inhibiting
                     the NF-κB/CXCL10 pathway","Xin Zhang,Shuheng Yan,Xuehong Zhang,Dan Huang,Jiayin Zhou,Xiaoting Song,Yuchao Hao,Xijia Wang,Jinsong Yan",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000223?download=true
10.1097/BS9.0000000000000227,"Multi-omics integration reveals immune hallmarks and biomarkers associated with FLT3
                     inhibitor sensitivity in FLT3-mutated AML","Mingming Niu,Ning Wang,Dandan Yang,Lixia Fu,Yang Yang,Long Shen,Hong Wang,Xianfeng Shao",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000227?download=true
10.1097/BS9.0000000000000231,Prognostic impact of co-mutations in adults withIDH1/2-mutated acute myeloid leukemia,"Anli Lai,Wenbing Liu,Chunlin Zhou,Yan Li,Shuning Wei,Kaiqi Liu,Benfa Gong,Xiaoyuan Gong,Yuntao Liu,Guangji Zhang,Junping Zhang,Runxia Gu,Shaowei Qiu,Bingcheng Liu,Ying Wang,Hui Wei,Yingchang Mi,Jianxiang Wang",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000231?download=true
10.1097/BS9.0000000000000225,Long-term outcome of using Ara-C or not in children’s APL,"Yingjin Zhang,Changwen Xue,Chao Wu,Wenyu Yang,Yao Zou,Ye Guo,Yumei Chen,Xiaojuan Chen,Xiaofan Zhu,Li Zhang",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000225?download=true
10.1097/BS9.0000000000000224,High CCR6 expression increases the risk of pediatric Langerhans cell histiocytosis,"Xingfeng Yao,Yutian Zheng,Jiasi Xia,Meng Zhang,Wentao Zheng,Rui Zhang,Yaqian Wu,Lejian He,Honggang Liu",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000224?download=true
10.1097/BS9.0000000000000226,"Integrated bioinformatics analysis to develop diagnostic models for malignant transformation
                     of chronic proliferative diseases","Hua Liu,Sheng Lin,Pei-Xuan Chen,Juan Min,Xia-Yang Liu,Ting Guan,Chao-Ying Yang,Xiao-Juan Xiao,De-Hui Xiong,Sheng-Jie Sun,Ling Nie,Han Gong,Xu-Sheng Wu,Xiao-Feng He,Jing Liu",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000226?download=true
10.1097/BS9.0000000000000222,"Superiority of allo-SCT to auto-SCT in high-risk T-cell lymphoblastic lymphoma/leukemia
                     patients with aaIPI ≥3: insights from a retrospective, multicenter analysis","Xiaodan Luo,Zhiping Fan,Runhui Zheng,Fen Huang,Na Xu,Pengfei Qin,Jingren Lin,Chunyan Wang,Huiqiang Huang,Huo Tan,Qifa Liu",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000222?download=true
10.1097/BS9.0000000000000234,Development and validation of nomograms for survival prediction in Fanconi anemia,"Yiman Gao,Hongyu Li,Wenbin An,Li Zhang,Yang Wan,Ranran Zhang,Beibei Zhao,Tianyu Li,Min Ruan,Xiaoming Liu,Yang Lan,Aoli Zhang,Lipeng Liu,Tianfeng Liu,Xiaojuan Chen,Shuchun Wang,Fang Liu,Xiaolan Li,Yao Zou,Yumei Chen,Wenyu Yang,Lixian Chang,Xiaofan Zhu",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000234?download=true
10.1097/BS9.0000000000000235,"Comparison of tandem and single autologous stem cell transplantation in multiple myeloma:
                     a retrospective propensity score-matching study","Shun-Quan Wu,Xiao-Fan Li,Zong-Jian Qiu,Zhi-Juan Zhu,Xian-Ling Chen,Ping Chen,Xiao-Hong Yuan,Rong Zhan,Nai-Nong Li",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000235?download=true
10.1097/BS9.0000000000000232,"Novel NUP98:TNRC18 fusion transcript in acute myeloid leukemia: a case report and
                     literature review","Lijuan Gao,Fenghong Zhang,Lijun Wen,Zheng Wang,Changgeng Ruan,Suning Chen",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000232?download=true
10.1097/BS9.0000000000000230,Challenging the prognostic expectations: a rare case ofZNF618::NUTM1-positive B-cell lymphoblastic leukemia with poor outcome,"Xue Chen,Lili Yuan,Xiaoli Ma,Jianling Wang,Fang Wang,Yang Zhang,Panxiang Cao,Junfang Yang,Ruijuan Sun,Jiaqi Chen,Xiaosu Zhou,Hongxing Liu",https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000230?download=true
10.1097/BS9.0000000000000238,"HSC ""aging"" of cord blood during cryopreservation and new strategy for prevention",Satoshi Takahashi,https://mednexus.org/toc/bls/07/02,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000238?download=true
10.1097/BS9.0000000000000219,Microenvironmental dynamics in steady-state and stress erythropoiesis,Chong YangandToshio Suda,https://mednexus.org/toc/bls/07/01,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000219?download=true
10.1097/BS9.0000000000000213,γδ T cells in hematological malignancies: mechanisms and therapeutic strategies,"Xingchi Chen,Guangyu Sun,Xiaoyu Zhu",https://mednexus.org/toc/bls/07/01,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000213?download=true
10.1097/BS9.0000000000000215,"In vitro erythropoiesis: the emerging potential of induced pluripotent stem cells
                     (iPSCs)","Chidera G. Chukwuemeka,Chizaram W. Ndubueze,Adeola V. Kolawole,Joshua N. Joseph,Ifeoluwa H. Oladipo,Ezichi F. Ofoezie,Samuel A. Annor-Yeboah,Abdur-Rahman Eneye Bello,Sodiq O. Ganiyu",https://mednexus.org/toc/bls/07/01,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000215?download=true
10.1097/BS9.0000000000000214,"The inhibitory impact of various total body irradiation doses on the hematopoietic
                     system of mice","Hui Xu,Jinwang Zhang,Hexiao Zhang,Ming Yang,Wenshan Zhang,Wei Wang,Chaoqun Wang,Yiran Zhang,Zhongxiang Jiao,Yingdai Gao,Yinghui Li",https://mednexus.org/toc/bls/07/01,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000214?download=true
10.1097/BS9.0000000000000217,Enhancing hemophilia A gene therapy by strategic F8 deletions in AAV vectors,"Juan-Juan Zhao,Sai-Ning Tian,Xiang Li,Zu-Yi Peng,Guo-Hua Li,Feng Zhang,Mei Zhao,Jian-Ping Zhang,Xiao-Bing Zhang",https://mednexus.org/toc/bls/07/01,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000217?download=true
10.1097/BS9.0000000000000216,"Decitabine facilitates thrombopoiesis independent of the thrombopoietin receptor in
                     zebrafish","Yudong Chen,Liangliang Wu,Lian Yang,Jiajun Chen,Xiaofan Gu,Yiyue Zhang,Qing Lin",https://mednexus.org/toc/bls/07/01,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000216?download=true
10.1097/BS9.0000000000000218,Surprising visit: the rare plasma cell variant,"Snehil Kumar,Faiq Ahmed,Manasi Mundada,Suseela Kondandapani,Pavan Kumar",https://mednexus.org/toc/bls/07/01,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000218?download=true
10.1097/BS9.0000000000000211,Deciphering the hematopoietic cell ecosystem,Hui Cheng,https://mednexus.org/toc/bls/06/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000211?download=true
10.1097/BS9.0000000000000206,"Epigenetic modifications in hematopoietic ecosystem: a key tuner from homeostasis
                     to acute myeloid leukemia","Shuxin Yao,Rongxia Guo,Wen Tian,Yanbing Zheng,Jin Hu,Guoqiang Han,Rong Yin,Fuling Zhou,Haojian Zhang",https://mednexus.org/toc/bls/06/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000206?download=true
10.1097/BS9.0000000000000200,Gut microbiota plays pivotal roles in benign and malignant hematopoiesis,"Yuxuan Li,Biao Zhang,Lingli Jiang,Tao Cheng,Hui Cheng,Pengxu Qian",https://mednexus.org/toc/bls/06/04,https://mednexus.org/doi/pdf/10.1097/BS9.0000000000000200?download=true
