article_id,title,author,year,issue,volume,pdf_url
12086,自体干细胞对常规血运重建失败的重度肢体缺血患者的疗效观察,"方圆, 董智慧, 魏征, 符伟国, 潘天岳, 顾史洋, 陈斌, 郭大乔, 徐欣, 刘澎, 蒋俊豪, 杨珏",2017,03,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12086
12087,利拉鲁肽对2型糖尿病合并低T3综合征患者糖化血红蛋白和胰岛β细胞功能及体脂的影响分析,马英丽,2017,03,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12087
12088,免疫磁珠分离淋巴细胞在流式交叉配型试验中的应用及研究,"郭靖, 罗奇志, 田芳, 郭旭丽, 罗伟光, 邹义洲",2017,03,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12088
12089,Indoxyl Sulfate诱导腹膜间皮细胞转分化的实验研究,"王强, 俞国庆, 黄雅清, 傅云泉, 陈鑫, 庄永泽",2017,03,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12089
12090,外周静脉输注脐带间充质干细胞致血栓形成临床研究,"陈丰穗, 吴志贤, 蔡锦全, 高霞, 谭建明",2017,03,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12090
12091,神经修复临床细胞治疗现状与展望,"黄红云, 毛更生, 陈琳",2017,03,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12091
12092,淋巴细胞亚群成员研究进展,"马锡慧, 肖漓",2017,03,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12092
12093,间充质干细胞治疗主动脉瘤的研究进展,"杨俊林, 曲乐丰",2017,03,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12093
12094,间充质干细胞在软骨损伤修复中的研究进展,"卫旭东, 党源, 胡德庆",2017,03,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12094
12095,干细胞向甲状腺滤泡细胞的分化研究,"盛建国, 张传森, 章建全",2017,03,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12095
12096,新型慢病毒转染四种细胞及在体内示踪的研究,"刘菊芬, 阮光萍, 李自安, 王金祥, 庞荣清, 潘兴华",2017,04,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12096
12097,利用析因设计法优化神经干细胞分化为多巴胺能神经元的诱导方案,"宋振涛, 陈恒, 王帅, 田振辉, 刘小盾, 曲廷瑜",2017,04,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12097
12098,心肌样细胞移植对大鼠心肌梗死的疗效观察,"王秀力, 姜世强, 刘颖, 王洁, 吕茜, 王雷, 李春梅, 宫海滨",2017,04,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12098
12099,骨髓间充质干细胞对大鼠血管性痴呆模型GAT1的调节作用研究,"龙乾发, 罗强, 田晔, 刘卫平, 黑悦",2017,04,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12099
12100,SHP-2激活突变对人脑胶质瘤细胞凋亡及增殖影响的研究,"江伟, 王鹏, 左威, 程超, 曾文, 张亮, 李维新",2017,04,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12100
12101,补骨脂素对前列腺癌LNCap-AD细胞增殖的影响及其分子机制研究,"陈书尚, 翁铭芳, 王水良, 路君, 谭建明",2017,04,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12101
12102,人脐带间充质干细胞来源的外泌体减轻肝脏缺血再灌注损伤及机制的初步研究,"冯啸, 陈良, 张琪, 杨扬, 陈规划, 张英才",2017,04,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12102
12103,间充质干细胞的恶性转化研究进展,"刘聪, 张墨, Hong-Long Ji",2017,04,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12103
12104,巨噬细胞在动脉粥样硬化发病机制中作用的研究进展,"李伟, 朱莉, 阮中宝, 任寅",2017,04,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12104
12105,间充质干细胞衰老机制的研究进展,"刘洋, 冯新民, 陈涛, 黄泽楠, 张亮",2017,04,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12105
12106,间充质（干）细胞的定义变迁,陈津,2017,04,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12106
12107,间充质干细胞更改名称的时候到了,Arnold I. Caplan,2017,05,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12107
12108,Epha4基因通过FGF信号通路调节大脑皮层发育,"陈清法, 韩发彬",2017,05,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12108
12109,基质交联分子1表达下调对人胰腺癌SW1990细胞周期及细胞凋亡的影响,"黎美琳, 顾鹏",2017,05,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12109
12110,碱性成纤维生长因子转染骨髓间充质干细胞移植对心肌病心力衰竭大鼠心功能的影响,"赖增华, 窦学凯, 贾春文, 姜朝晖",2017,05,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12110
12111,不同注射途径的脂肪间充质干细胞对大鼠肠炎疗效的实验研究,"付正伟, 张振宇, 葛海燕",2017,05,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12111
12112,脑脊液中CD4+CD25+Treg、sICAM-1及BAFF与动脉瘤蛛网膜下腔出血的相关性研究,"李淑雯, 吕亮亮",2017,05,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12112
12113,CD68、CD133和TGF-β在肝癌及癌旁组织中的表达及其在临床转归中的意义,"宋晨鑫, 丛明华, 邹宝华, 于雷",2017,05,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12113
12114,从文献计量学角度探讨脂肪间充质干细胞的发展历程,"黄永增, 蔡晓珍, 朱东屏, 陈媛媛, 李少婷, 陈贞春",2017,05,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12114
12115,脐带血非造血性功能定向干（祖）细胞研究进展,"徐峰波, 崔光晶, 曹光鑫",2017,05,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12115
12116,干细胞对糖尿病足的治疗研究进展,"高弘烨, 黄平平",2017,05,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12116
12117,羊膜间充质干细胞的免疫调节功能研究进展,"欧阳文, 廖正权, 夏增飞, 高雅, 郭燕舞, 孙海涛",2017,05,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12117
12118,脐血干细胞移植对失代偿期肝硬化患者TNF-α浓度和CD45RO+粒细胞表达的影响,"董媛, 师贞宗",2017,06,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12118
12119,TGF-β、GFAP及免疫细胞的表达对恶性胶质瘤术后同期推量调强放疗患者生存情况的影响,苏优勒,2017,06,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12119
12120,齐墩果酸通过PPARγ调控人脐静脉内皮细胞抗氧化损伤作用,"朱宝华, 谷春景, 刘凤莲, 刘璐, 任艳红",2017,06,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12120
12121,干细胞标志物CD133、CD44v6、PSCA和Oct-4在胃癌组织中表达及其临床意义,曾春兰,2017,06,07,https://zhxbygxbzz.cma-cmc.com.cn//CN/article/downloadArticleFile.do?attachType=PDF&id=12121
