article_id,title,issue_url,pdf_url
hjjydxxb-46-10-1329,PDF 1.63 M (110),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_10,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-10-1329?st=article_issue
hjjydxxb-46-10-1336,PDF 1.07 M (105),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_10,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-10-1336?st=article_issue
hjjydxxb-46-10-1344,PDF 1.02 M (104),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_10,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-10-1344?st=article_issue
hjjydxxb-46-10-1350,PDF 1.01 M (104),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_10,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-10-1350?st=article_issue
hjjydxxb-46-10-1355,PDF 1.03 M (105),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_10,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-10-1355?st=article_issue
hjjydxxb-46-10-1363,PDF 2.37 M (104),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_10,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-10-1363?st=article_issue
hjjydxxb-46-10-1371,PDF 1.96 M (91),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_10,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-10-1371?st=article_issue
hjjydxxb-46-10-1377,PDF 1.06 M (93),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_10,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/hjjydxxb-46-10-1377?st=article_issue
2020100000,PDF 510.69 K (1255),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_10,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/2020100000?st=article_issue
20250901,PDF 1.67 M (256),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250901?st=article_issue
20250902,PDF 1.06 M (197),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250902?st=article_issue
20250903,PDF 1.85 M (173),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250903?st=article_issue
20250904,PDF 1.25 M (174),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250904?st=article_issue
20250905,PDF 1.16 M (170),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250905?st=article_issue
20250906,PDF 1.07 M (156),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250906?st=article_issue
20250907,PDF 1.66 M (182),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250907?st=article_issue
20250908,PDF 2.06 M (165),https://xuebao.smmu.edu.cn/ajsmmu/article/issue/2025_46_9,https://xuebao.smmu.edu.cn/ajsmmu/article/pdf/20250908?st=article_issue
